# L=10, T=2.5 
# E      M        E^2        M^2
-60.0    20.0     3600.0     400.0
-84.0    18.0     7056.0     324.0
-88.0    24.0     7744.0     576.0
-88.0    8.0     7744.0     64.0
-88.0    24.0     7744.0     576.0
-80.0    30.0     6400.0     900.0
-92.0    48.0     8464.0     2304.0
-80.0    48.0     6400.0     2304.0
-96.0    48.0     9216.0     2304.0
-108.0    50.0     11664.0     2500.0
-100.0    42.0     10000.0     1764.0
-124.0    52.0     15376.0     2704.0
-124.0    58.0     15376.0     3364.0
-124.0    50.0     15376.0     2500.0
-116.0    50.0     13456.0     2500.0
-128.0    54.0     16384.0     2916.0
-124.0    60.0     15376.0     3600.0
-124.0    74.0     15376.0     5476.0
-124.0    74.0     15376.0     5476.0
-120.0    68.0     14400.0     4624.0
-108.0    62.0     11664.0     3844.0
-140.0    78.0     19600.0     6084.0
-148.0    84.0     21904.0     7056.0
-160.0    84.0     25600.0     7056.0
-164.0    86.0     26896.0     7396.0
-156.0    82.0     24336.0     6724.0
-172.0    86.0     29584.0     7396.0
-160.0    88.0     25600.0     7744.0
-164.0    90.0     26896.0     8100.0
-136.0    80.0     18496.0     6400.0
-148.0    84.0     21904.0     7056.0
-148.0    78.0     21904.0     6084.0
-132.0    72.0     17424.0     5184.0
-100.0    52.0     10000.0     2704.0
-128.0    70.0     16384.0     4900.0
-112.0    52.0     12544.0     2704.0
-128.0    58.0     16384.0     3364.0
-128.0    70.0     16384.0     4900.0
-136.0    76.0     18496.0     5776.0
-128.0    70.0     16384.0     4900.0
-96.0    50.0     9216.0     2500.0
-108.0    48.0     11664.0     2304.0
-88.0    26.0     7744.0     676.0
-96.0    30.0     9216.0     900.0
-76.0    30.0     5776.0     900.0
-104.0    34.0     10816.0     1156.0
-72.0    22.0     5184.0     484.0
-88.0    24.0     7744.0     576.0
-104.0    52.0     10816.0     2704.0
-120.0    52.0     14400.0     2704.0
-120.0    58.0     14400.0     3364.0
-128.0    60.0     16384.0     3600.0
-92.0    42.0     8464.0     1764.0
-116.0    50.0     13456.0     2500.0
-104.0    26.0     10816.0     676.0
-108.0    36.0     11664.0     1296.0
-100.0    38.0     10000.0     1444.0
-112.0    48.0     12544.0     2304.0
-136.0    60.0     18496.0     3600.0
-132.0    56.0     17424.0     3136.0
-112.0    50.0     12544.0     2500.0
-124.0    62.0     15376.0     3844.0
-136.0    64.0     18496.0     4096.0
-116.0    64.0     13456.0     4096.0
-104.0    64.0     10816.0     4096.0
-84.0    48.0     7056.0     2304.0
-100.0    46.0     10000.0     2116.0
-112.0    54.0     12544.0     2916.0
-124.0    44.0     15376.0     1936.0
-116.0    44.0     13456.0     1936.0
-128.0    44.0     16384.0     1936.0
-136.0    64.0     18496.0     4096.0
-120.0    68.0     14400.0     4624.0
-156.0    84.0     24336.0     7056.0
-132.0    76.0     17424.0     5776.0
-136.0    74.0     18496.0     5476.0
-140.0    70.0     19600.0     4900.0
-140.0    72.0     19600.0     5184.0
-140.0    74.0     19600.0     5476.0
-120.0    58.0     14400.0     3364.0
-96.0    50.0     9216.0     2500.0
-104.0    38.0     10816.0     1444.0
-88.0    40.0     7744.0     1600.0
-132.0    66.0     17424.0     4356.0
-84.0    54.0     7056.0     2916.0
-92.0    56.0     8464.0     3136.0
-96.0    50.0     9216.0     2500.0
-100.0    46.0     10000.0     2116.0
-124.0    30.0     15376.0     900.0
-132.0    18.0     17424.0     324.0
-80.0    18.0     6400.0     324.0
-112.0    18.0     12544.0     324.0
-100.0    12.0     10000.0     144.0
-100.0    28.0     10000.0     784.0
-76.0    30.0     5776.0     900.0
-80.0    8.0     6400.0     64.0
-84.0    -8.0     7056.0     64.0
-88.0    -14.0     7744.0     196.0
-108.0    -18.0     11664.0     324.0
-108.0    -24.0     11664.0     576.0
-124.0    -26.0     15376.0     676.0
-116.0    -20.0     13456.0     400.0
-92.0    -14.0     8464.0     196.0
-104.0    -16.0     10816.0     256.0
-108.0    -20.0     11664.0     400.0
-108.0    -6.0     11664.0     36.0
-104.0    -6.0     10816.0     36.0
-120.0    -10.0     14400.0     100.0
-96.0    -16.0     9216.0     256.0
-104.0    -26.0     10816.0     676.0
-104.0    -18.0     10816.0     324.0
-128.0    -4.0     16384.0     16.0
-112.0    14.0     12544.0     196.0
-92.0    20.0     8464.0     400.0
-108.0    22.0     11664.0     484.0
-108.0    18.0     11664.0     324.0
-104.0    20.0     10816.0     400.0
-100.0    -4.0     10000.0     16.0
-96.0    -22.0     9216.0     484.0
-96.0    -40.0     9216.0     1600.0
-120.0    -48.0     14400.0     2304.0
-132.0    -76.0     17424.0     5776.0
-128.0    -82.0     16384.0     6724.0
-144.0    -84.0     20736.0     7056.0
-144.0    -84.0     20736.0     7056.0
-160.0    -88.0     25600.0     7744.0
-156.0    -84.0     24336.0     7056.0
-120.0    -74.0     14400.0     5476.0
-124.0    -72.0     15376.0     5184.0
-120.0    -74.0     14400.0     5476.0
-120.0    -78.0     14400.0     6084.0
-124.0    -76.0     15376.0     5776.0
-136.0    -80.0     18496.0     6400.0
-128.0    -68.0     16384.0     4624.0
-112.0    -64.0     12544.0     4096.0
-132.0    -74.0     17424.0     5476.0
-124.0    -74.0     15376.0     5476.0
-124.0    -66.0     15376.0     4356.0
-108.0    -64.0     11664.0     4096.0
-136.0    -70.0     18496.0     4900.0
-140.0    -66.0     19600.0     4356.0
-104.0    -50.0     10816.0     2500.0
-108.0    -62.0     11664.0     3844.0
-112.0    -46.0     12544.0     2116.0
-120.0    -46.0     14400.0     2116.0
-108.0    -56.0     11664.0     3136.0
-96.0    -60.0     9216.0     3600.0
-116.0    -68.0     13456.0     4624.0
-108.0    -64.0     11664.0     4096.0
-124.0    -68.0     15376.0     4624.0
-132.0    -62.0     17424.0     3844.0
-132.0    -58.0     17424.0     3364.0
-136.0    -56.0     18496.0     3136.0
-128.0    -58.0     16384.0     3364.0
-144.0    -72.0     20736.0     5184.0
-116.0    -58.0     13456.0     3364.0
-120.0    -46.0     14400.0     2116.0
-84.0    -46.0     7056.0     2116.0
-84.0    -48.0     7056.0     2304.0
-92.0    -46.0     8464.0     2116.0
-100.0    -24.0     10000.0     576.0
-100.0    -40.0     10000.0     1600.0
-104.0    -48.0     10816.0     2304.0
-108.0    -54.0     11664.0     2916.0
-120.0    -60.0     14400.0     3600.0
-144.0    -76.0     20736.0     5776.0
-152.0    -84.0     23104.0     7056.0
-160.0    -88.0     25600.0     7744.0
-168.0    -92.0     28224.0     8464.0
-136.0    -78.0     18496.0     6084.0
-140.0    -84.0     19600.0     7056.0
-176.0    -92.0     30976.0     8464.0
-160.0    -88.0     25600.0     7744.0
-136.0    -78.0     18496.0     6084.0
-152.0    -86.0     23104.0     7396.0
-132.0    -80.0     17424.0     6400.0
-132.0    -76.0     17424.0     5776.0
-124.0    -78.0     15376.0     6084.0
-148.0    -80.0     21904.0     6400.0
-156.0    -84.0     24336.0     7056.0
-132.0    -78.0     17424.0     6084.0
-148.0    -82.0     21904.0     6724.0
-176.0    -94.0     30976.0     8836.0
-188.0    -96.0     35344.0     9216.0
-168.0    -90.0     28224.0     8100.0
-156.0    -82.0     24336.0     6724.0
-148.0    -84.0     21904.0     7056.0
-144.0    -78.0     20736.0     6084.0
-176.0    -92.0     30976.0     8464.0
-176.0    -92.0     30976.0     8464.0
-160.0    -84.0     25600.0     7056.0
-176.0    -94.0     30976.0     8836.0
-172.0    -92.0     29584.0     8464.0
-176.0    -92.0     30976.0     8464.0
-188.0    -96.0     35344.0     9216.0
-176.0    -94.0     30976.0     8836.0
-168.0    -92.0     28224.0     8464.0
-164.0    -90.0     26896.0     8100.0
-156.0    -86.0     24336.0     7396.0
-144.0    -64.0     20736.0     4096.0
-132.0    -62.0     17424.0     3844.0
-116.0    -62.0     13456.0     3844.0
-144.0    -74.0     20736.0     5476.0
-72.0    -38.0     5184.0     1444.0
-88.0    -34.0     7744.0     1156.0
-104.0    -44.0     10816.0     1936.0
-124.0    -62.0     15376.0     3844.0
-144.0    -72.0     20736.0     5184.0
-136.0    -72.0     18496.0     5184.0
-124.0    -62.0     15376.0     3844.0
-112.0    -62.0     12544.0     3844.0
-92.0    -60.0     8464.0     3600.0
-112.0    -68.0     12544.0     4624.0
-128.0    -58.0     16384.0     3364.0
-100.0    -64.0     10000.0     4096.0
-124.0    -66.0     15376.0     4356.0
-132.0    -78.0     17424.0     6084.0
-104.0    -66.0     10816.0     4356.0
-156.0    -86.0     24336.0     7396.0
-164.0    -90.0     26896.0     8100.0
-156.0    -86.0     24336.0     7396.0
-144.0    -80.0     20736.0     6400.0
-132.0    -72.0     17424.0     5184.0
-128.0    -64.0     16384.0     4096.0
-128.0    -56.0     16384.0     3136.0
-136.0    -64.0     18496.0     4096.0
-120.0    -60.0     14400.0     3600.0
-116.0    -60.0     13456.0     3600.0
-128.0    -62.0     16384.0     3844.0
-128.0    -52.0     16384.0     2704.0
-136.0    -60.0     18496.0     3600.0
-144.0    -50.0     20736.0     2500.0
-128.0    -48.0     16384.0     2304.0
-124.0    -30.0     15376.0     900.0
-116.0    -24.0     13456.0     576.0
-104.0    -26.0     10816.0     676.0
-92.0    -18.0     8464.0     324.0
-92.0    8.0     8464.0     64.0
-88.0    -4.0     7744.0     16.0
-76.0    18.0     5776.0     324.0
-64.0    36.0     4096.0     1296.0
-88.0    46.0     7744.0     2116.0
-92.0    46.0     8464.0     2116.0
-124.0    58.0     15376.0     3364.0
-72.0    40.0     5184.0     1600.0
-100.0    48.0     10000.0     2304.0
-96.0    24.0     9216.0     576.0
-72.0    4.0     5184.0     16.0
-76.0    -14.0     5776.0     196.0
-76.0    -14.0     5776.0     196.0
-80.0    -12.0     6400.0     144.0
-96.0    -6.0     9216.0     36.0
-88.0    -32.0     7744.0     1024.0
-80.0    -18.0     6400.0     324.0
-96.0    -26.0     9216.0     676.0
-96.0    -36.0     9216.0     1296.0
-104.0    -24.0     10816.0     576.0
-116.0    -48.0     13456.0     2304.0
-80.0    -44.0     6400.0     1936.0
-128.0    -56.0     16384.0     3136.0
-124.0    -74.0     15376.0     5476.0
-168.0    -86.0     28224.0     7396.0
-144.0    -72.0     20736.0     5184.0
-144.0    -82.0     20736.0     6724.0
-120.0    -64.0     14400.0     4096.0
-108.0    -46.0     11664.0     2116.0
-92.0    -44.0     8464.0     1936.0
-92.0    -40.0     8464.0     1600.0
-108.0    -54.0     11664.0     2916.0
-108.0    -42.0     11664.0     1764.0
-80.0    -28.0     6400.0     784.0
-88.0    -30.0     7744.0     900.0
-80.0    -24.0     6400.0     576.0
-72.0    -28.0     5184.0     784.0
-84.0    -32.0     7056.0     1024.0
-60.0    -26.0     3600.0     676.0
-80.0    -28.0     6400.0     784.0
-112.0    -44.0     12544.0     1936.0
-104.0    -46.0     10816.0     2116.0
-96.0    -34.0     9216.0     1156.0
-84.0    -32.0     7056.0     1024.0
-68.0    -32.0     4624.0     1024.0
-112.0    -34.0     12544.0     1156.0
-84.0    -28.0     7056.0     784.0
-80.0    -32.0     6400.0     1024.0
-104.0    -14.0     10816.0     196.0
-100.0    -18.0     10000.0     324.0
-108.0    -4.0     11664.0     16.0
-112.0    -16.0     12544.0     256.0
-96.0    -10.0     9216.0     100.0
-104.0    -4.0     10816.0     16.0
-104.0    -18.0     10816.0     324.0
-96.0    -20.0     9216.0     400.0
-100.0    -22.0     10000.0     484.0
-84.0    -24.0     7056.0     576.0
-96.0    -28.0     9216.0     784.0
-80.0    -14.0     6400.0     196.0
-96.0    -22.0     9216.0     484.0
-84.0    -18.0     7056.0     324.0
-84.0    -20.0     7056.0     400.0
-104.0    -26.0     10816.0     676.0
-84.0    -30.0     7056.0     900.0
-72.0    -34.0     5184.0     1156.0
-80.0    -30.0     6400.0     900.0
-96.0    -24.0     9216.0     576.0
-116.0    -26.0     13456.0     676.0
-96.0    -28.0     9216.0     784.0
-116.0    -52.0     13456.0     2704.0
-120.0    -28.0     14400.0     784.0
-104.0    -46.0     10816.0     2116.0
-108.0    -48.0     11664.0     2304.0
-128.0    -56.0     16384.0     3136.0
-120.0    -58.0     14400.0     3364.0
-120.0    -64.0     14400.0     4096.0
-124.0    -58.0     15376.0     3364.0
-116.0    -44.0     13456.0     1936.0
-124.0    -48.0     15376.0     2304.0
-152.0    -68.0     23104.0     4624.0
-144.0    -76.0     20736.0     5776.0
-148.0    -78.0     21904.0     6084.0
-144.0    -74.0     20736.0     5476.0
-132.0    -72.0     17424.0     5184.0
-136.0    -76.0     18496.0     5776.0
-128.0    -76.0     16384.0     5776.0
-164.0    -82.0     26896.0     6724.0
-156.0    -86.0     24336.0     7396.0
-112.0    -66.0     12544.0     4356.0
-116.0    -62.0     13456.0     3844.0
-112.0    -46.0     12544.0     2116.0
-104.0    -38.0     10816.0     1444.0
-68.0    -42.0     4624.0     1764.0
-88.0    -18.0     7744.0     324.0
-92.0    -16.0     8464.0     256.0
-108.0    0.0     11664.0     0.0
-104.0    0.0     10816.0     0.0
-108.0    28.0     11664.0     784.0
-104.0    26.0     10816.0     676.0
-120.0    20.0     14400.0     400.0
-120.0    22.0     14400.0     484.0
-88.0    14.0     7744.0     196.0
-104.0    24.0     10816.0     576.0
-92.0    22.0     8464.0     484.0
-84.0    26.0     7056.0     676.0
-80.0    22.0     6400.0     484.0
-96.0    14.0     9216.0     196.0
-72.0    24.0     5184.0     576.0
-68.0    22.0     4624.0     484.0
-80.0    24.0     6400.0     576.0
-60.0    4.0     3600.0     16.0
-80.0    2.0     6400.0     4.0
-64.0    6.0     4096.0     36.0
-92.0    -2.0     8464.0     4.0
-88.0    16.0     7744.0     256.0
-84.0    6.0     7056.0     36.0
-76.0    14.0     5776.0     196.0
-80.0    8.0     6400.0     64.0
-96.0    12.0     9216.0     144.0
-88.0    28.0     7744.0     784.0
-108.0    40.0     11664.0     1600.0
-112.0    46.0     12544.0     2116.0
-116.0    54.0     13456.0     2916.0
-140.0    54.0     19600.0     2916.0
-116.0    50.0     13456.0     2500.0
-116.0    46.0     13456.0     2116.0
-120.0    50.0     14400.0     2500.0
-120.0    52.0     14400.0     2704.0
-128.0    66.0     16384.0     4356.0
-140.0    78.0     19600.0     6084.0
-152.0    86.0     23104.0     7396.0
-144.0    82.0     20736.0     6724.0
-132.0    78.0     17424.0     6084.0
-116.0    64.0     13456.0     4096.0
-116.0    68.0     13456.0     4624.0
-152.0    66.0     23104.0     4356.0
-124.0    56.0     15376.0     3136.0
-96.0    42.0     9216.0     1764.0
-96.0    40.0     9216.0     1600.0
-88.0    42.0     7744.0     1764.0
-116.0    60.0     13456.0     3600.0
-116.0    52.0     13456.0     2704.0
-108.0    48.0     11664.0     2304.0
-84.0    46.0     7056.0     2116.0
-88.0    42.0     7744.0     1764.0
-92.0    58.0     8464.0     3364.0
-104.0    58.0     10816.0     3364.0
-112.0    52.0     12544.0     2704.0
-116.0    56.0     13456.0     3136.0
-100.0    48.0     10000.0     2304.0
-100.0    50.0     10000.0     2500.0
-108.0    60.0     11664.0     3600.0
-128.0    68.0     16384.0     4624.0
-128.0    70.0     16384.0     4900.0
-128.0    76.0     16384.0     5776.0
-136.0    80.0     18496.0     6400.0
-156.0    80.0     24336.0     6400.0
-132.0    78.0     17424.0     6084.0
-128.0    72.0     16384.0     5184.0
-136.0    78.0     18496.0     6084.0
-128.0    70.0     16384.0     4900.0
-112.0    64.0     12544.0     4096.0
