# L=10, T=3.25 
# E      M        E^2        M^2
-76.0    -46.0     5776.0     2116.0
-92.0    -58.0     8464.0     3364.0
-104.0    -56.0     10816.0     3136.0
-88.0    -60.0     7744.0     3600.0
-56.0    -34.0     3136.0     1156.0
-80.0    -32.0     6400.0     1024.0
-84.0    -52.0     7056.0     2704.0
-96.0    -42.0     9216.0     1764.0
-60.0    -40.0     3600.0     1600.0
-44.0    -38.0     1936.0     1444.0
-68.0    -6.0     4624.0     36.0
-56.0    10.0     3136.0     100.0
-100.0    24.0     10000.0     576.0
-76.0    24.0     5776.0     576.0
-84.0    48.0     7056.0     2304.0
-92.0    40.0     8464.0     1600.0
-68.0    30.0     4624.0     900.0
-88.0    52.0     7744.0     2704.0
-84.0    50.0     7056.0     2500.0
-92.0    50.0     8464.0     2500.0
-96.0    52.0     9216.0     2704.0
-100.0    58.0     10000.0     3364.0
-108.0    62.0     11664.0     3844.0
-68.0    42.0     4624.0     1764.0
-76.0    42.0     5776.0     1764.0
-56.0    26.0     3136.0     676.0
-52.0    24.0     2704.0     576.0
-60.0    22.0     3600.0     484.0
-72.0    36.0     5184.0     1296.0
-84.0    6.0     7056.0     36.0
-80.0    6.0     6400.0     36.0
-88.0    -14.0     7744.0     196.0
-104.0    -30.0     10816.0     900.0
-56.0    -16.0     3136.0     256.0
-84.0    -10.0     7056.0     100.0
-80.0    -16.0     6400.0     256.0
-80.0    -24.0     6400.0     576.0
-52.0    -20.0     2704.0     400.0
-56.0    -10.0     3136.0     100.0
-60.0    -28.0     3600.0     784.0
-84.0    -32.0     7056.0     1024.0
-112.0    -42.0     12544.0     1764.0
-80.0    -12.0     6400.0     144.0
-80.0    -22.0     6400.0     484.0
-84.0    -36.0     7056.0     1296.0
-48.0    -6.0     2304.0     36.0
-52.0    -2.0     2704.0     4.0
-64.0    14.0     4096.0     196.0
-72.0    16.0     5184.0     256.0
-68.0    18.0     4624.0     324.0
-80.0    2.0     6400.0     4.0
-48.0    20.0     2304.0     400.0
-56.0    26.0     3136.0     676.0
-52.0    8.0     2704.0     64.0
-64.0    14.0     4096.0     196.0
-64.0    26.0     4096.0     676.0
-52.0    12.0     2704.0     144.0
-92.0    -28.0     8464.0     784.0
-88.0    -26.0     7744.0     676.0
-88.0    -22.0     7744.0     484.0
-76.0    -20.0     5776.0     400.0
-48.0    -18.0     2304.0     324.0
-80.0    -26.0     6400.0     676.0
-76.0    -8.0     5776.0     64.0
-84.0    -8.0     7056.0     64.0
-76.0    22.0     5776.0     484.0
-96.0    44.0     9216.0     1936.0
-72.0    38.0     5184.0     1444.0
-100.0    42.0     10000.0     1764.0
-68.0    30.0     4624.0     900.0
-100.0    42.0     10000.0     1764.0
-64.0    38.0     4096.0     1444.0
-68.0    24.0     4624.0     576.0
-76.0    28.0     5776.0     784.0
-108.0    50.0     11664.0     2500.0
-140.0    70.0     19600.0     4900.0
-136.0    78.0     18496.0     6084.0
-128.0    66.0     16384.0     4356.0
-100.0    62.0     10000.0     3844.0
-108.0    58.0     11664.0     3364.0
-72.0    50.0     5184.0     2500.0
-112.0    64.0     12544.0     4096.0
-152.0    86.0     23104.0     7396.0
-124.0    74.0     15376.0     5476.0
-148.0    78.0     21904.0     6084.0
-132.0    74.0     17424.0     5476.0
-132.0    80.0     17424.0     6400.0
-140.0    78.0     19600.0     6084.0
-96.0    50.0     9216.0     2500.0
-96.0    62.0     9216.0     3844.0
-96.0    48.0     9216.0     2304.0
-132.0    78.0     17424.0     6084.0
-100.0    68.0     10000.0     4624.0
-88.0    64.0     7744.0     4096.0
-92.0    60.0     8464.0     3600.0
-68.0    24.0     4624.0     576.0
-104.0    22.0     10816.0     484.0
-96.0    40.0     9216.0     1600.0
-64.0    36.0     4096.0     1296.0
-76.0    32.0     5776.0     1024.0
-68.0    30.0     4624.0     900.0
-56.0    16.0     3136.0     256.0
-76.0    28.0     5776.0     784.0
-80.0    20.0     6400.0     400.0
-80.0    20.0     6400.0     400.0
-68.0    8.0     4624.0     64.0
-76.0    -16.0     5776.0     256.0
-92.0    -46.0     8464.0     2116.0
-108.0    -62.0     11664.0     3844.0
-48.0    -38.0     2304.0     1444.0
-60.0    -18.0     3600.0     324.0
-72.0    -30.0     5184.0     900.0
-88.0    -30.0     7744.0     900.0
-96.0    -40.0     9216.0     1600.0
-100.0    -36.0     10000.0     1296.0
-88.0    -28.0     7744.0     784.0
-60.0    -24.0     3600.0     576.0
-60.0    -30.0     3600.0     900.0
-72.0    -28.0     5184.0     784.0
-68.0    -24.0     4624.0     576.0
-100.0    -34.0     10000.0     1156.0
-72.0    -14.0     5184.0     196.0
-44.0    -6.0     1936.0     36.0
-68.0    -12.0     4624.0     144.0
-60.0    0.0     3600.0     0.0
-52.0    -12.0     2704.0     144.0
-72.0    4.0     5184.0     16.0
-52.0    14.0     2704.0     196.0
-80.0    16.0     6400.0     256.0
-76.0    18.0     5776.0     324.0
-120.0    32.0     14400.0     1024.0
-96.0    30.0     9216.0     900.0
-100.0    36.0     10000.0     1296.0
-108.0    52.0     11664.0     2704.0
-60.0    36.0     3600.0     1296.0
-68.0    36.0     4624.0     1296.0
-76.0    30.0     5776.0     900.0
-80.0    48.0     6400.0     2304.0
-76.0    28.0     5776.0     784.0
-52.0    16.0     2704.0     256.0
-52.0    -4.0     2704.0     16.0
-52.0    8.0     2704.0     64.0
-72.0    30.0     5184.0     900.0
-68.0    30.0     4624.0     900.0
-72.0    34.0     5184.0     1156.0
-88.0    40.0     7744.0     1600.0
-72.0    32.0     5184.0     1024.0
-96.0    42.0     9216.0     1764.0
-80.0    22.0     6400.0     484.0
-40.0    16.0     1600.0     256.0
-52.0    16.0     2704.0     256.0
-80.0    12.0     6400.0     144.0
-72.0    2.0     5184.0     4.0
-116.0    52.0     13456.0     2704.0
-76.0    42.0     5776.0     1764.0
-64.0    16.0     4096.0     256.0
-60.0    -16.0     3600.0     256.0
-68.0    -16.0     4624.0     256.0
-76.0    -18.0     5776.0     324.0
-68.0    -16.0     4624.0     256.0
-88.0    -8.0     7744.0     64.0
-112.0    -14.0     12544.0     196.0
-100.0    8.0     10000.0     64.0
-64.0    -10.0     4096.0     100.0
-52.0    -14.0     2704.0     196.0
-60.0    -28.0     3600.0     784.0
-68.0    -18.0     4624.0     324.0
-80.0    -18.0     6400.0     324.0
-96.0    -34.0     9216.0     1156.0
-96.0    -18.0     9216.0     324.0
-100.0    -2.0     10000.0     4.0
-84.0    0.0     7056.0     0.0
-64.0    20.0     4096.0     400.0
-96.0    -10.0     9216.0     100.0
-92.0    6.0     8464.0     36.0
-76.0    -6.0     5776.0     36.0
-44.0    -6.0     1936.0     36.0
-44.0    -2.0     1936.0     4.0
-32.0    22.0     1024.0     484.0
-80.0    28.0     6400.0     784.0
-108.0    44.0     11664.0     1936.0
-120.0    62.0     14400.0     3844.0
-112.0    58.0     12544.0     3364.0
