# L=16, T=4.0 
# E      M        E^2        M^2
-152.0    -6.4     23865.6     1632.8
-134.8    8.4     18772.8     1844.0
-145.6    5.6     21852.8     532.0
-145.6    -19.4     21510.4     998.8
-136.8    4.0     18953.6     640.8
-149.6    -2.6     23452.8     452.4
-143.6    -7.4     21304.0     1658.8
-146.8    5.8     21966.4     1442.0
-143.6    -32.0     21332.8     1574.4
-144.4    6.2     21806.4     986.8
-138.8    0.6     19656.0     294.8
-148.0    17.6     22118.4     730.4
-132.8    -3.4     18227.2     1435.6
-155.6    -7.2     24347.2     2434.4
-132.4    6.0     17886.4     751.2
-149.2    8.0     22660.8     1426.4
-146.4    3.2     22371.2     720.0
-147.2    -4.4     22329.6     500.0
-152.8    -11.8     23606.4     1162.0
-130.8    2.6     17851.2     586.0
-129.6    4.8     17241.6     678.4
-132.8    10.2     18284.8     766.0
-156.8    -13.8     25385.6     1218.8
-142.8    -12.6     21406.4     604.4
-149.6    -9.4     22736.0     2383.6
-138.8    26.6     20222.4     1114.8
-142.8    10.6     20856.0     1622.0
-146.0    -6.8     22158.4     944.0
-140.4    4.0     20660.8     1089.6
-150.8    31.4     23476.8     2454.8
-142.4    0.2     21027.2     1497.2
-148.0    27.8     22374.4     1350.8
-147.2    -9.6     22476.8     323.2
-151.6    27.8     24171.2     2480.4
-131.6    -2.0     17857.6     1025.6
-148.4    10.4     22299.2     1525.6
-143.2    -10.0     21270.4     272.0
-142.0    -0.8     20488.0     1881.6
-137.2    10.2     19233.6     530.0
-150.0    -8.0     23057.6     767.2
-142.4    -13.6     20611.2     1713.6
-137.2    -14.4     18936.0     919.2
-138.4    -3.0     20089.6     422.0
-148.8    -18.0     22435.2     2896.0
-159.6    -8.4     26056.0     1347.2
-155.6    21.2     24510.4     1401.6
-130.4    -4.0     17424.0     782.4
-148.0    -11.4     22624.0     1651.6
-123.2    -2.6     15408.0     506.0
-140.4    0.6     20056.0     671.6
-132.8    -11.0     18105.6     754.0
-152.8    -5.6     23926.4     1539.2
-148.8    -9.2     22768.0     954.4
-150.0    17.8     22913.6     1110.0
-142.0    15.4     21310.4     1287.6
-161.2    29.4     26680.0     2014.8
-134.0    -20.2     18964.8     908.4
-155.2    13.0     24163.2     1210.0
-144.4    11.4     21422.4     667.6
-148.0    5.8     22588.8     930.8
-130.0    1.8     17630.4     867.6
-159.6    -1.6     26120.0     1489.6
-148.8    -3.2     22425.6     1432.0
-125.6    8.6     16064.0     510.0
-147.6    -4.8     22372.8     944.8
-146.4    -8.0     22147.2     1026.4
-143.6    -11.6     22014.4     1806.4
-158.8    12.0     25617.6     869.6
-144.8    3.4     21785.6     1175.6
-148.8    7.4     23100.8     1382.8
-143.6    5.8     20891.2     453.2
-148.8    -22.2     22723.2     1736.4
-134.0    -0.4     18612.8     814.4
-155.2    -2.6     24342.4     906.8
-140.4    -8.8     20027.2     892.0
-153.2    -30.8     24523.2     2310.4
-133.2    9.4     18001.6     1083.6
-146.4    8.2     21801.6     1262.0
-148.0    -8.6     22899.2     857.2
-128.4    5.0     17345.6     674.0
-156.4    9.6     24776.0     1071.2
-144.0    -11.8     21705.6     1095.6
-139.2    -4.6     20000.0     714.8
-140.4    0.6     20267.2     735.6
-134.0    19.8     18939.2     685.2
-146.8    17.6     22264.0     1541.6
-141.2    -5.6     20232.0     1357.6
-158.8    7.8     26065.6     3242.0
-142.8    -6.6     20878.4     697.2
-140.4    11.2     20593.6     944.8
-151.2    12.6     23430.4     1168.4
-143.6    10.0     21761.6     552.0
-136.8    -10.6     19497.6     719.6
-146.8    16.0     22740.8     1197.6
-128.8    14.4     17081.6     956.8
-144.8    -7.0     21635.2     1597.2
-139.2    15.4     20768.0     1186.0
-147.2    -17.6     22624.0     844.8
-140.8    22.4     20284.8     1300.8
-153.6    13.4     24480.0     1516.4
-140.8    -12.8     20611.2     379.2
-147.2    -7.0     22774.4     990.0
-146.4    -8.2     22160.0     1153.2
-143.6    6.8     20961.6     1520.8
-142.4    5.2     20812.8     1129.6
-144.0    15.4     20883.2     1110.0
-138.4    3.2     19792.0     786.4
-142.0    17.2     20788.8     2032.8
-153.6    3.4     24566.4     1220.4
-142.4    9.4     20992.0     1811.6
-136.0    10.8     19116.8     766.4
-143.2    -3.0     21347.2     510.8
-154.8    2.2     25483.2     1896.4
-148.4    9.8     22260.8     1650.8
