# L=10, T=4.0 
# E      M        E^2        M^2
-57.6    10.0     3776.0     694.4
-56.4    -0.8     3400.0     287.2
-53.2    13.4     3153.6     398.0
-60.8    -0.4     3814.4     451.2
-63.2    2.4     4243.2     182.4
-59.2    17.6     3840.0     1124.0
-55.6    1.6     3342.4     131.2
-53.6    2.8     2998.4     451.2
-48.8    -0.6     2604.8     128.4
-67.6    11.0     4961.6     1087.6
-54.4    6.4     3155.2     228.0
-56.4    3.0     3422.4     362.0
-56.8    1.6     3699.2     203.2
-61.6    4.6     4179.2     702.0
-59.6    6.0     3921.6     351.2
-66.8    0.0     4782.4     299.2
-54.8    8.8     3204.8     268.0
-54.4    3.4     3488.0     758.0
-50.8    0.0     2635.2     393.6
-47.2    -9.6     2528.0     387.2
-46.8    -5.8     2584.0     534.8
-49.6    0.0     2547.2     170.4
-54.4    -7.8     3104.0     405.2
-47.2    -7.2     2393.6     286.4
-52.0    4.4     2790.4     280.8
-60.8    -3.0     3916.8     200.4
-54.8    -2.8     3185.6     551.2
-58.8    -3.0     3784.0     342.0
-48.4    4.4     2686.4     236.8
-58.0    11.6     3512.0     506.4
-53.6    -5.8     3350.4     644.4
-53.2    6.8     3022.4     224.0
-49.6    1.6     2774.4     251.2
-63.2    2.8     4185.6     605.6
-66.0    -17.4     4833.6     634.8
-58.0    2.0     3646.4     584.8
-51.2    -1.4     2758.4     281.2
-50.8    0.4     2760.0     188.0
-63.2    -8.2     4188.8     382.8
-53.2    1.2     3150.4     240.0
-55.2    -0.2     3280.0     199.6
-55.2    -9.6     3235.2     484.0
-53.2    0.6     2878.4     350.0
-65.6    -4.4     4752.0     399.2
-53.2    5.4     3144.0     370.8
-64.8    1.4     4419.2     764.4
-54.4    -3.6     3123.2     563.2
-60.0    -1.2     3808.0     630.4
-57.6    3.8     3481.6     729.2
-50.8    -11.0     2820.8     540.4
-57.2    -0.6     3604.8     618.8
-53.2    -2.6     3284.8     330.8
-60.0    -1.6     3718.4     432.8
-60.8    0.6     3888.0     186.0
-44.4    -0.2     2420.8     271.6
-56.0    6.4     3472.0     374.4
-51.6    2.0     2756.8     216.8
-62.4    2.0     4332.8     232.8
-51.6    -5.4     2900.8     382.8
-58.0    12.2     3528.0     382.0
-60.8    0.0     3939.2     458.4
-64.4    -1.6     4270.4     592.8
-58.4    -10.8     3708.8     472.0
-55.6    3.4     3329.6     718.8
-57.2    4.0     3425.6     518.4
-53.2    4.4     2913.6     104.8
-57.6    -10.6     3398.4     646.8
-51.6    3.0     2913.6     349.2
-49.2    2.0     2830.4     251.2
-53.6    -0.2     3043.2     357.2
-64.8    -0.2     4368.0     709.2
-54.4    7.0     3100.8     367.6
-63.2    -24.2     4355.2     953.2
-59.2    4.2     3753.6     588.4
-59.2    4.2     3616.0     331.6
-50.4    -8.6     3046.4     379.6
-54.8    -4.4     3240.0     681.6
-52.0    1.0     2976.0     246.0
-54.8    6.8     3268.8     493.6
-52.8    0.2     2982.4     521.2
-58.8    3.4     3598.4     331.6
-60.8    1.0     3747.2     266.8
-53.6    2.6     3116.8     174.8
-60.8    1.0     4051.2     286.0
-51.2    6.6     2809.6     205.2
-50.4    -0.8     2764.8     219.2
-54.0    0.6     3041.6     112.4
-63.6    -3.6     4446.4     463.2
-52.4    -17.8     2964.8     448.4
-55.2    0.0     3472.0     321.6
-55.6    2.0     3464.0     337.6
-69.2    -2.0     5204.8     265.6
-52.0    5.4     2816.0     310.0
-65.2    0.2     4417.6     738.8
-60.8    7.4     4003.2     225.2
-43.6    -1.6     1972.8     169.6
-51.2    -3.4     2755.2     398.8
-48.0    -9.8     2460.8     497.2
