# L=10, T=3.25 
# E      M        E^2        M^2
-70.48    -3.94     5357.76     679.16
-73.28    -0.02     5657.6     651.56
-75.08    -0.04     5901.92     874.88
-71.88    7.28     5467.36     773.44
-73.36    5.08     5732.16     997.92
-71.24    -2.34     5401.44     745.16
-74.04    0.38     5798.56     782.36
-73.44    4.18     5719.36     803.32
-74.24    -4.52     5944.32     695.92
-72.28    -2.5     5484.32     669.24
-70.88    2.48     5304.0     544.4
-71.16    2.02     5362.4     571.08
-69.92    3.78     5229.12     675.24
-73.24    -1.04     5714.72     963.76
-76.08    4.8     6107.84     890.32
-75.8    0.84     6065.44     876.08
-69.08    4.68     5139.04     673.04
-73.28    1.72     5762.24     882.96
-73.36    -2.26     5708.48     846.76
-75.24    3.1     6066.4     984.76
-71.0    5.28     5425.44     803.76
-69.28    0.02     5143.68     720.2
-71.0    -5.38     5343.2     720.28
-71.76    2.5     5439.68     652.6
-75.4    -0.82     6061.6     915.56
-76.52    1.5     6124.96     762.36
-71.08    -4.5     5348.64     747.08
-74.0    6.5     5781.44     795.8
-72.2    -1.46     5475.36     709.88
-71.32    4.86     5362.08     655.56
-72.0    -2.32     5515.84     813.2
-71.84    2.36     5512.32     826.56
-74.16    3.14     5765.44     915.32
-73.56    -5.38     5693.92     579.96
-74.28    -0.72     5925.6     931.28
-74.4    -4.06     5837.12     774.28
-74.04    5.08     5764.64     692.56
-75.88    6.46     6090.08     1015.72
-75.52    2.74     6227.2     1031.64
-72.48    3.0     5564.16     688.88
-72.4    -2.72     5579.52     657.92
-76.36    -1.76     6299.68     1016.24
-74.8    -1.06     5933.76     844.44
-75.32    -1.56     5996.64     854.8
-76.08    -0.26     6088.96     942.44
-72.04    -3.6     5478.56     789.76
-74.76    -6.06     5897.44     981.24
-74.92    -7.7     6100.64     981.24
-74.6    0.88     5895.2     726.0
-73.96    2.26     5815.52     661.48
-75.72    -6.8     6068.64     890.16
-70.84    6.54     5397.6     839.56
-72.12    4.44     5552.16     890.48
-70.88    -3.74     5351.68     672.76
-71.32    0.34     5390.88     838.84
-73.92    -1.98     5776.32     792.52
-73.32    1.08     5708.0     744.24
-74.96    2.34     6006.4     680.44
-71.32    3.16     5413.6     632.72
-72.52    -8.36     5560.48     659.6
-76.84    5.32     6342.56     1034.88
-72.48    3.88     5529.28     623.12
-74.08    -4.96     5849.28     843.28
-74.72    4.78     5917.76     859.24
-72.4    -4.06     5519.68     778.84
-73.12    5.72     5655.36     716.72
-73.04    1.0     5766.08     782.16
-71.6    -3.1     5530.88     753.88
-73.36    -7.16     5714.24     797.28
-72.8    3.72     5631.36     891.12
-74.76    -1.58     5898.4     782.44
-72.88    -6.58     5620.48     834.6
-72.44    3.22     5522.72     701.4
-70.88    5.92     5330.88     759.84
-71.72    -3.28     5490.4     665.52
-73.28    -4.52     5623.68     706.64
-73.88    -1.86     5762.72     740.04
-74.28    -5.9     5890.08     829.32
-69.44    -0.56     5123.84     635.6
-73.28    3.52     5690.88     838.32
-69.28    4.12     5155.84     725.6
-73.96    -1.56     5799.2     867.68
-70.88    1.64     5375.04     734.88
-73.28    1.1     5694.4     859.4
-75.48    3.52     6061.28     850.56
-77.6    5.82     6360.32     966.2
-71.16    1.34     5397.6     779.88
-74.76    1.98     6020.64     904.84
-72.84    -1.12     5630.24     689.04
-74.48    4.26     5833.92     638.28
-75.88    2.48     6099.68     872.4
-72.28    3.92     5522.08     822.64
-69.32    4.7     5135.52     600.04
-72.36    -2.98     5522.72     879.64
-75.04    -4.94     5975.36     835.08
-75.48    -3.94     6039.2     751.0
-75.08    -1.24     5848.48     752.32
-71.0    7.08     5384.16     796.48
-74.4    8.68     5888.32     820.4
-75.04    -7.34     5992.32     956.76
-77.28    2.58     6301.44     967.8
-71.96    -2.72     5514.4     814.48
-75.28    1.56     5965.12     700.24
-73.72    4.84     5832.48     895.52
-74.52    -3.98     5873.76     768.84
-74.08    1.66     5843.84     785.4
-76.12    -0.72     6093.92     816.4
-73.16    -2.6     5664.48     821.36
-74.84    -3.72     6011.04     843.04
-72.72    -3.2     5664.0     782.24
-74.56    8.04     5854.72     1038.88
-73.12    -0.36     5674.24     752.0
-73.12    -3.4     5649.28     866.4
-74.64    6.8     5840.32     709.84
-75.04    -2.88     6008.0     832.64
-76.92    2.28     6274.72     904.8
-71.6    1.82     5498.56     781.64
-71.08    -0.56     5423.84     638.72
-74.68    -4.32     5847.2     1034.88
-72.44    3.96     5496.48     781.36
-72.8    6.32     5600.64     634.4
-74.28    -1.8     5841.76     1091.28
-75.6    -7.04     5949.76     786.32
-73.68    -2.8     5763.84     778.16
-72.0    2.98     5528.96     749.24
-74.28    -4.24     5908.96     815.92
-75.72    -3.96     6085.6     777.68
-72.44    4.8     5491.68     753.52
-73.64    0.58     5704.16     689.48
-72.68    1.3     5579.68     746.36
-73.96    -5.62     5789.6     737.64
-72.92    -3.86     5580.96     875.32
-73.24    6.6     5831.52     855.68
-70.24    -0.72     5175.04     674.56
-72.64    1.44     5583.36     724.64
-72.8    -0.92     5786.88     846.88
-70.28    -7.94     5281.76     755.32
-73.0    -0.06     5690.4     615.64
-75.36    -4.08     5976.0     854.4
-73.48    -2.02     5800.8     677.56
-68.64    1.34     4969.92     561.96
-69.76    -0.5     5144.64     735.72
-73.48    -6.22     5746.72     766.44
-74.92    1.36     6010.4     1022.4
-75.08    -1.8     5996.64     1021.6
-76.84    5.5     6324.64     938.36
-73.68    4.7     5871.36     802.52
-71.28    -6.98     5403.2     842.44
-74.12    1.72     5832.16     814.32
-74.48    2.9     5912.32     973.08
