# L=10, T=2.75 
# E      M        E^2        M^2
-95.44    -0.02     9564.8     1800.92
-99.08    7.18     10202.72     2076.2
-98.16    8.38     10170.56     2186.2
-95.24    1.86     9557.28     1871.8
-92.88    -11.28     9067.2     1551.36
-98.8    -10.36     10144.32     2187.52
-94.76    8.62     9501.6     1833.56
-97.84    10.76     10280.64     2124.4
-94.4    1.68     9341.76     1648.4
-100.68    -6.76     10699.04     1963.12
-93.72    -0.4     9213.92     1603.68
-95.24    1.52     9633.12     1918.64
-94.92    -8.86     9401.44     1481.72
-95.08    12.18     9476.96     1665.24
-98.4    1.94     10391.36     2191.96
-95.8    -4.38     9800.48     1680.12
-96.6    -7.82     9742.88     1856.12
-95.2    18.7     9580.8     1823.08
-92.32    -4.66     8966.08     1437.48
-97.96    -6.62     10062.24     1938.04
-102.16    -20.1     11139.2     2279.08
-97.24    13.88     9948.64     2001.36
-94.68    -8.84     9464.16     1650.24
-96.6    -9.48     9797.92     1994.72
-98.52    -11.34     10234.08     2075.72
-93.84    -7.78     9398.4     1805.56
-100.96    -11.62     10806.4     2291.32
-99.2    21.44     10383.68     2124.56
-95.96    14.64     9756.64     2167.68
-94.8    1.36     9474.88     1528.0
-98.48    -0.46     10192.64     2072.84
-98.52    -10.12     10309.6     1758.48
-98.84    7.08     10348.0     2240.4
-92.44    -7.12     8975.84     1420.0
-95.0    5.48     9494.56     1660.24
-96.84    4.1     9800.16     1682.92
-97.0    0.5     9889.44     1738.76
-100.28    -2.32     10584.8     2162.8
-94.2    5.18     9309.6     1603.64
-92.08    5.68     8930.88     1559.04
-91.4    2.16     8842.72     1570.88
-93.8    -13.32     9180.0     1560.48
-98.6    16.94     10232.16     2115.32
-98.8    -15.26     10272.96     2165.24
-97.52    -17.24     10135.04     1978.32
-96.72    -2.64     9897.6     1608.24
-97.52    -12.22     10031.04     1928.04
-96.36    9.2     9966.24     1935.92
-97.24    -6.78     9908.32     2016.44
-97.2    -10.3     9904.0     1890.04
-91.92    9.28     8813.12     1333.92
-97.44    -4.0     9970.24     2005.04
-100.2    16.64     10673.44     2247.68
-95.88    -11.34     9726.56     1878.12
-95.56    -1.4     9615.84     1682.8
-99.0    1.76     10472.16     2171.44
-93.96    2.54     9299.68     1650.92
-90.52    6.96     8561.76     1363.68
-94.72    -0.12     9383.68     1463.52
-96.84    1.84     9900.0     1903.36
-98.28    -16.48     10264.16     2265.2
-94.36    -7.68     9413.92     1755.84
-101.96    0.42     11020.64     2423.8
-96.32    8.8     9799.04     1949.76
-92.76    9.98     9033.76     1496.52
-94.48    -12.96     9436.48     1763.76
-96.72    5.94     9808.96     1947.56
-98.88    -2.64     10192.96     2069.92
-95.84    -0.48     9661.12     1712.72
-92.6    6.24     9055.84     1363.6
-98.36    11.6     10135.52     2171.44
-97.28    16.24     9927.68     1889.36
-95.76    0.92     9698.88     1864.48
-96.2    -12.56     9680.48     1687.12
-98.56    -0.62     10183.68     1978.12
-97.6    -1.28     10092.48     2076.72
-96.4    7.04     9804.16     1934.56
-92.16    0.6     9086.72     1845.12
-97.8    0.56     10151.84     2118.8
-99.48    2.46     10607.2     2138.6
-94.16    -12.46     9301.12     1588.28
-98.32    -14.82     10248.96     2008.36
-88.32    -1.24     8312.96     1312.32
-95.24    3.12     9519.52     1671.36
-97.72    -9.96     10033.44     2076.08
-94.52    1.98     9477.6     1537.96
-98.08    -27.02     10149.12     2017.64
-96.2    -2.04     9787.68     2013.12
-96.64    6.26     9794.24     1724.12
-93.4    4.2     9085.92     1529.04
-98.68    -6.42     10309.28     1921.4
-95.16    9.74     9510.56     1551.56
-96.36    -9.68     9903.2     1807.28
-94.04    5.0     9291.04     1407.44
-92.48    -5.38     9170.88     1419.24
-94.6    1.7     9440.8     1859.96
-99.92    7.52     10445.12     1980.16
-96.08    -3.16     9693.76     1785.04
-97.04    6.06     9871.04     1673.16
-103.0    8.88     11310.24     2487.52
-97.96    9.96     10166.88     2142.0
-95.32    -1.02     9543.84     1843.08
-97.56    -3.14     10211.36     1986.2
-96.6    -15.08     9839.52     1895.68
-95.92    10.7     9776.64     1948.44
-97.72    3.26     10084.96     1776.04
-96.56    -3.24     9732.16     1991.76
-95.36    -11.72     9714.56     1825.92
