# L=10, T=3.75 
# E      M        E^2        M^2
-56.96    0.92     3539.84     516.64
-59.0    2.12     3776.8     482.88
-60.12    0.78     3874.4     528.92
-61.0    1.12     4029.92     477.36
-58.4    0.24     3718.08     504.32
-60.8    1.48     4043.2     517.04
-60.32    4.36     3832.64     521.6
-57.76    0.26     3580.48     400.36
-60.96    1.68     4048.32     467.68
-58.48    -2.34     3729.28     436.6
-61.28    -2.8     4020.48     452.0
-58.36    -1.34     3698.72     498.6
-61.8    2.14     4126.56     630.2
-60.2    3.28     3845.92     467.44
-62.88    -3.06     4204.8     574.2
-62.36    2.88     4171.36     568.08
-58.8    3.16     3722.24     472.0
-61.76    1.92     4050.24     475.2
-63.88    2.52     4393.12     667.76
-62.52    -0.22     4137.44     458.76
-58.0    1.02     3692.48     473.16
-61.48    -0.28     4042.08     441.52
-61.0    1.08     4040.8     627.76
-57.84    -0.2     3512.0     432.16
-59.4    -3.26     3768.16     468.2
-59.92    0.68     3830.4     538.72
-59.4    6.7     3866.08     468.92
-64.6    -2.7     4460.32     516.6
-59.0    -1.08     3740.0     441.52
-58.6    1.84     3774.56     459.84
-58.88    1.1     3760.32     534.12
-60.56    0.26     4039.36     520.76
-60.52    -4.36     4011.36     612.32
-60.76    3.28     3986.08     541.84
-58.72    -2.14     3690.88     531.88
-59.88    -0.22     3852.32     464.2
-60.96    -3.94     3951.04     429.88
-59.6    -5.92     3918.4     593.2
-61.12    -1.42     4021.12     456.52
-60.0    -3.64     3932.8     524.72
-60.32    -2.28     3900.48     438.16
-56.28    -2.4     3404.64     483.36
-61.0    -1.12     4025.12     518.56
-62.48    -1.48     4232.96     567.44
-57.2    0.42     3586.88     453.0
-59.8    -1.48     3811.36     440.4
-60.56    -1.8     3900.8     526.8
-61.84    -0.82     4139.52     588.44
-64.68    -3.22     4514.4     501.72
-60.96    -0.02     3983.36     558.76
-59.4    0.96     3770.4     409.44
-61.2    -4.14     4037.44     541.96
-59.2    2.6     3729.28     431.84
-57.08    0.76     3603.68     504.0
-63.8    -0.32     4307.68     586.64
-62.6    -0.64     4246.88     675.68
-58.52    -0.36     3734.88     397.04
-60.2    2.18     3860.32     471.16
-57.56    -0.18     3564.0     431.0
-60.44    -1.58     3879.52     512.04
-59.04    -1.88     3836.48     427.52
-58.72    -0.82     3753.6     453.24
-60.2    -0.04     3889.12     667.44
-60.4    0.44     3885.76     427.84
-61.08    -3.98     4085.6     434.84
-57.4    -2.46     3593.44     435.72
-61.4    3.7     4132.0     444.76
-60.88    1.26     4031.04     429.8
-59.68    1.52     3812.16     381.28
-59.96    -2.22     3859.68     506.04
-61.88    0.16     4109.6     491.12
-59.64    1.62     3856.16     495.24
-62.56    -0.7     4238.4     509.0
-60.44    -0.94     3865.76     535.08
-60.92    -1.76     4068.32     504.64
-62.48    5.84     4160.64     586.96
-60.8    1.82     3939.52     471.96
-62.6    -3.5     4228.96     443.64
-60.08    -0.4     3935.68     536.08
-64.16    0.46     4404.48     613.0
-59.12    -1.12     3839.36     442.08
-60.28    2.6     3849.76     507.68
-62.4    1.9     4149.12     595.32
-57.84    -0.94     3539.52     446.36
-59.16    1.08     3830.56     524.32
-59.88    -2.26     3889.44     367.08
-59.92    -2.96     3818.56     391.52
-60.64    -4.34     3961.28     526.04
-61.16    2.82     4060.0     462.36
-62.32    -1.0     4073.6     550.64
-59.08    -2.44     3796.96     433.04
-60.48    0.34     3958.72     436.52
-63.08    -3.62     4223.2     611.56
-59.76    1.26     3845.12     460.12
-57.88    -0.1     3658.08     472.84
-60.28    -0.22     3929.12     506.84
