# L=10, T=2.5 
# E      M        E^2        M^2
-122.52    -39.94     15769.76     4120.52
-116.6    -20.24     14349.92     3371.36
-114.76    -19.94     13634.72     3171.48
-122.4    20.64     15713.6     3953.6
-125.96    6.96     16432.16     4336.64
-125.84    27.78     16576.0     4321.88
-118.0    -36.9     14618.56     3644.52
-120.16    -32.76     15125.12     3763.2
-112.84    -5.16     13228.32     2985.84
-114.44    33.5     13869.92     3276.84
-117.4    6.36     14491.36     3097.76
-113.68    1.9     13533.12     3131.24
-117.56    21.38     14524.0     3329.96
-114.12    -0.8     13769.44     3089.6
-113.76    -8.48     13523.2     3132.64
-110.2    -9.08     12882.08     2511.04
-118.08    40.14     14750.08     3252.84
-127.44    -32.14     17000.96     4581.88
-122.36    16.48     15593.76     3716.56
-122.96    6.48     15809.28     4316.4
-119.2    -3.84     15039.04     3916.48
-115.56    27.4     13899.68     3274.56
-117.16    -24.72     14549.92     3081.68
-118.84    37.46     14886.24     3706.92
-120.52    -43.18     15133.28     3797.56
-119.08    -0.54     14819.04     3343.8
-115.84    -6.8     14139.84     3404.64
-118.96    -37.48     14848.32     3658.96
-117.0    -30.38     14324.96     3517.4
-117.4    11.14     14500.0     3625.4
-125.48    21.66     16360.48     4162.52
-118.84    27.66     14793.76     3509.32
-112.0    12.58     13067.52     2788.12
-117.08    -1.88     14337.76     3372.24
-122.0    -5.06     15524.8     3881.72
-114.36    21.24     13639.52     2845.04
-118.4    -14.62     14653.44     3453.48
-117.72    -22.36     14621.28     3552.56
-112.48    -6.64     13359.36     2629.2
-124.24    -44.76     16156.8     4088.08
-121.88    5.82     15469.6     3894.04
-119.44    -25.48     15056.96     3697.2
-119.16    -1.22     14965.28     3480.44
-115.88    -11.84     14108.0     3217.84
-122.12    16.38     15588.0     3932.44
-116.12    -5.86     14279.2     3223.72
-120.92    7.9     15223.84     3865.24
-118.72    26.22     14698.24     3492.36
-116.12    20.24     14200.48     3204.24
-117.56    -0.48     14542.88     3601.92
-123.08    18.1     15899.36     4324.44
-113.76    -29.62     13579.2     3059.08
-121.68    -55.64     15460.48     3875.2
-112.32    -15.1     13190.72     2962.76
-112.96    -10.06     13428.48     3086.36
-113.32    -30.9     13553.12     3180.04
-115.96    19.9     14052.64     3394.44
-122.32    -41.14     15715.52     3753.08
-118.12    -50.84     14645.28     3683.52
-121.28    47.94     15343.36     3974.52
-125.12    -11.38     16336.96     4094.92
-112.08    -9.34     13127.68     2903.4
-120.76    -10.02     15276.0     3862.04
-120.04    26.8     15044.0     3912.72
-115.96    -8.1     14102.56     3137.72
-123.64    -21.18     15812.96     4014.04
-122.56    -10.46     15673.28     3948.44
-119.24    8.52     14954.72     3637.12
-115.48    2.32     14007.52     3183.52
-116.48    -6.48     14232.32     3404.32
-119.64    -45.0     14866.72     3754.96
-116.32    38.6     14194.56     3260.48
-120.28    28.44     15218.72     3555.76
-115.16    4.4     13830.56     3033.12
-126.28    -59.94     16552.16     4391.4
-113.92    -23.68     13602.88     3220.8
-115.2    -34.5     13929.6     3242.6
-118.12    16.84     14512.16     3599.28
-129.0    -6.34     17347.68     4643.48
-122.56    16.16     15996.48     3572.88
-114.6    2.78     13833.76     3372.52
-116.08    -18.84     14192.0     3460.0
-117.4    11.44     14377.44     3308.16
-120.92    1.56     15318.24     3909.44
-120.16    -6.66     15398.72     3622.6
-115.16    -4.62     13937.44     3044.44
-115.56    12.92     14002.72     3130.32
-110.72    -13.64     12772.48     2644.4
-124.76    47.56     16183.52     4339.36
-117.8    8.74     14552.8     3523.88
-120.64    -17.44     15220.48     3925.68
-117.4    -4.74     14472.16     3501.56
-128.08    -62.0     16978.56     4504.0
-123.12    1.84     15865.6     3939.52
-113.6    -22.96     13575.36     3441.28
-117.48    -18.8     14556.64     3501.84
-111.28    -19.66     12999.36     3067.72
-119.8    -42.44     15207.84     3576.48
-114.92    5.32     13946.08     3185.2
-116.36    -15.9     14268.96     3387.48
-121.28    41.24     15524.16     3609.04
-123.2    2.5     15793.6     3910.2
-115.68    1.34     14145.6     3336.28
-119.84    25.16     14950.72     3814.56
-119.0    39.2     14694.56     3840.4
-113.92    -19.52     13804.16     3311.2
-112.72    3.48     13479.36     3048.88
-121.6    18.6     15455.36     3690.64
-117.68    -47.7     14519.04     3797.72
-121.6    -25.6     15427.52     3930.88
-121.08    -9.58     15399.84     3717.0
-124.08    -16.64     16156.16     3992.56
-118.04    16.52     14589.92     3778.24
-121.28    -3.94     15425.92     3818.12
-121.96    11.54     15584.8     4013.96
-114.12    17.38     13671.2     3071.08
-112.6    -8.86     13312.16     2841.24
-122.0    -27.16     15496.32     3548.64
-121.12    5.44     15477.12     3979.76
-113.32    12.44     13526.56     2925.92
-118.8    -28.32     14738.24     3563.92
-119.88    14.48     14909.92     3434.16
-119.08    -15.46     15055.52     3623.16
-118.84    -18.22     14928.8     3506.6
-119.84    30.46     14984.96     3371.48
-118.28    21.1     14708.64     3501.0
-124.44    -1.62     16197.92     4015.64
-120.4    22.18     15124.16     3758.68
-117.64    35.16     14603.68     3694.96
-120.52    52.2     15158.56     3673.52
-117.2    -3.66     14320.96     3409.72
-110.56    -10.08     12827.84     2783.92
-119.24    -13.2     15018.4     3938.24
-122.64    -45.84     15700.48     3879.28
-122.92    -21.12     15780.0     3806.32
-121.88    13.12     15594.08     3866.16
-116.12    -43.1     14186.72     3432.92
-125.72    0.84     16589.92     4207.68
-124.2    -9.58     16192.48     4259.88
-121.52    -23.22     15519.68     3810.76
-117.32    14.74     14441.12     3175.16
