# L=10, T=4.0 
# E      M        E^2        M^2
-56.44    3.32     3458.4     462.72
-54.36    2.48     3273.12     436.64
-56.72    2.62     3449.92     378.6
-56.28    -0.1     3373.6     413.56
-56.24    -0.04     3611.2     524.48
-56.28    -0.44     3427.68     473.28
-58.64    0.32     3673.6     407.28
-55.0    0.14     3284.64     397.48
-56.48    4.4     3507.84     447.68
-55.04    0.76     3339.2     508.4
-51.32    5.62     2925.92     388.44
-56.84    1.48     3454.24     367.12
-52.48    -1.26     3064.64     409.4
-55.0    -0.22     3403.04     398.36
-56.12    2.5     3369.76     362.52
-56.24    -2.74     3382.72     412.28
-54.16    -2.0     3138.56     370.96
-53.28    -0.68     3059.84     327.52
-52.12    1.64     2934.56     360.64
-57.24    5.0     3567.2     498.08
-52.92    -0.12     3040.48     426.72
-54.96    2.5     3280.64     394.2
-56.44    0.72     3520.8     489.2
-53.32    1.4     3162.4     461.76
-55.44    -2.92     3371.52     443.92
-57.4    7.3     3537.44     496.2
-52.32    1.4     2958.72     403.84
-59.96    -1.28     3919.2     452.0
-58.2    0.46     3639.84     467.8
-55.88    -3.56     3368.48     441.28
-57.44    -1.42     3587.84     386.68
-57.28    1.28     3569.92     435.6
-55.12    1.0     3250.56     433.44
-53.12    -2.18     3073.92     330.2
-56.6    1.14     3406.24     347.56
-57.96    0.04     3721.12     444.96
-58.4    -1.56     3688.64     537.12
-57.2    -1.24     3526.72     465.52
-58.8    3.6     3780.48     557.44
-56.6    1.16     3429.92     409.12
-57.64    -0.2     3509.92     367.12
-51.8    -0.96     2895.52     351.52
-54.88    -0.66     3222.08     409.96
-57.96    -1.98     3708.64     414.84
-59.36    0.12     3824.96     562.08
-56.48    2.76     3445.12     404.64
-55.08    -3.46     3287.84     382.44
-56.48    -2.52     3414.4     433.6
-58.68    -2.26     3634.4     335.16
-52.72    -3.8     3038.08     481.52
-56.6    1.36     3498.08     447.76
-55.08    0.42     3388.64     399.08
-54.72    4.64     3344.64     468.56
-54.16    2.68     3195.84     345.28
-56.08    1.48     3415.04     362.64
-58.8    -1.02     3769.92     447.64
-56.36    -0.06     3497.12     485.08
-57.72    -0.48     3553.12     412.0
-52.08    -0.12     3000.0     315.68
-57.36    0.08     3570.56     460.24
