# L=10, T=3.5 
# E      M        E^2        M^2
-64.72    3.58     4464.96     646.04
-66.68    -3.16     4796.0     608.96
-67.2    -4.46     4868.48     673.16
-65.08    0.0     4583.84     528.16
-65.88    -2.02     4608.48     596.12
-67.44    2.54     4785.6     559.64
-65.4    4.54     4579.36     500.36
-63.8    4.0     4412.32     562.0
-68.32    -3.38     4978.88     613.32
-65.92    -3.8     4841.6     726.32
-63.44    1.6     4349.12     443.6
-66.0    -2.12     4676.48     590.32
-68.0    -3.5     4923.84     580.68
-61.92    -1.34     4092.8     409.8
-67.32    4.6     4844.0     628.4
-69.32    4.7     5088.8     711.0
-67.28    -0.3     4824.32     678.92
-68.2    1.52     4877.6     608.72
-69.12    -6.58     5125.12     773.48
-65.24    0.26     4568.16     593.8
-65.68    -0.14     4665.92     644.52
-63.44    0.52     4257.28     384.4
-67.4    2.18     4819.68     483.96
-67.04    1.44     4789.12     642.88
-64.48    -0.12     4427.84     526.08
-61.24    -0.78     3993.76     493.16
-65.16    3.46     4550.88     578.44
-64.92    0.18     4420.32     512.6
-66.16    -3.64     4685.44     488.0
-66.24    4.02     4763.2     611.48
-64.24    4.16     4434.56     524.08
-64.36    1.6     4392.8     487.12
-67.88    -1.1     4930.08     636.76
-67.24    -0.74     4883.68     838.12
-67.12    2.88     4890.88     644.8
-65.28    -3.24     4511.04     450.08
-64.92    4.3     4482.72     502.36
-68.92    -1.24     5049.76     688.72
-65.48    -2.82     4586.4     732.12
-63.92    -0.52     4407.68     499.68
-64.48    4.74     4441.6     620.04
-66.6    1.12     4684.64     528.24
-64.16    -1.42     4473.92     689.08
-67.52    2.24     4929.6     538.16
-66.28    3.96     4738.72     582.48
-69.32    2.96     5126.88     765.52
-66.24    -0.88     4664.0     631.44
-65.96    1.88     4662.88     646.8
-64.16    -2.04     4446.72     537.04
-64.2    -1.14     4477.92     617.8
-65.76    -1.68     4588.48     498.88
-64.64    4.44     4546.56     606.56
-63.64    -3.38     4315.68     516.6
-64.64    1.12     4522.88     599.84
-64.84    0.42     4533.28     586.04
-65.92    3.0     4685.44     619.52
-66.68    1.3     4804.96     565.96
-65.88    -0.96     4599.52     556.16
-66.96    7.8     4788.16     568.64
-65.04    1.62     4459.2     450.68
-65.44    -3.58     4571.84     557.24
-65.56    0.16     4629.6     593.52
-65.6    -3.52     4655.36     583.68
