# L=10, T=2.25 
# E      M        E^2        M^2
-150.68    -4.14     23425.12     6319.24
-149.04    -20.5     22920.0     6380.68
-156.28    84.12     24927.2     7193.28
-145.68    -25.74     21872.96     5796.2
-152.44    50.5     23780.64     6608.44
-151.36    -14.02     23567.36     6503.8
-151.56    -78.36     23566.88     6473.04
-144.4    39.5     21555.2     5777.32
-151.28    49.82     23441.92     6582.76
-149.76    32.76     23202.88     6288.0
-156.16    34.36     25003.2     6847.92
-148.84    8.76     22804.0     6305.76
-151.56    -43.24     23484.0     6611.12
-150.44    -78.04     23273.44     6439.28
-152.64    -25.48     23770.88     6730.4
-148.8    -78.46     22705.92     6373.32
-153.76    -81.34     24147.2     6776.28
-148.6    -76.2     22693.6     6153.52
-151.36    -43.54     23464.64     6546.28
-146.88    67.72     22170.88     5962.48
-141.56    68.32     20780.32     5415.92
-144.0    -31.36     21394.88     5508.72
-150.52    -77.44     23171.36     6289.2
-152.28    -81.12     23698.4     6759.6
-152.84    -81.0     23935.84     6769.76
-156.4    -81.2     25002.88     7042.8
-151.48    -11.26     23427.68     6498.76
-142.88    -71.32     21148.8     5661.84
-148.36    34.32     22518.24     6181.84
-143.68    -16.74     21279.04     5421.24
-147.68    74.74     22312.96     5993.8
-152.96    76.88     24058.24     6483.92
-153.64    80.1     24229.28     6685.48
-151.0    79.1     23437.6     6534.52
-153.48    81.74     24005.92     6842.68
-151.48    79.14     23566.24     6555.64
-151.92    -5.6     23614.4     6592.96
-152.44    -79.64     23812.96     6620.0
-149.28    77.06     22770.24     6311.08
-146.88    58.6     22317.44     5812.56
-149.2    58.82     22934.72     6282.92
-153.08    -81.28     23893.92     6767.44
-152.72    -80.58     23835.52     6718.92
-154.4    57.86     24400.0     6789.4
-148.16    16.68     22598.72     6096.56
-148.36    60.4     22741.28     6118.4
-149.92    4.44     23165.44     6422.0
-148.36    -61.38     22622.88     6020.52
-154.64    63.32     24377.92     6729.04
-151.76    -28.36     23472.32     6466.32
-150.64    -79.24     23296.96     6499.04
-143.04    -72.1     21168.64     5759.56
-146.76    -76.88     22126.24     6188.32
-149.28    -46.88     22907.2     6101.2
-151.76    -78.88     23592.32     6474.72
-150.84    -79.84     23303.84     6596.96
-150.04    6.5     23189.6     6236.68
-149.08    72.9     23049.76     6136.04
-151.28    -29.16     23517.44     6422.56
-149.24    10.38     22942.88     6414.2
-148.72    76.86     22792.0     6264.6
-148.64    74.24     22695.36     5974.48
-142.04    -7.86     21069.92     5343.72
-150.16    75.94     23228.48     6240.36
-149.68    6.82     23022.4     6387.16
-149.76    -38.12     23119.68     6167.6
-148.12    76.06     22506.4     6104.12
-146.36    7.14     21994.4     5917.4
-156.56    83.32     25011.2     7084.88
-153.72    80.86     24035.36     6729.08
-147.04    76.02     22235.52     6125.4
-149.72    43.56     23080.48     6127.68
-142.2    -49.14     21095.2     5491.16
-148.56    -76.46     22713.28     6213.0
-148.2    -64.36     22728.48     6243.84
-152.32    -71.36     23965.12     6624.64
-149.44    14.9     23043.2     6241.4
-147.8    53.26     22577.44     6099.32
-148.48    78.28     22647.04     6359.92
-151.24    19.42     23609.12     6598.12
-148.92    -57.52     22829.28     6174.0
-152.8    -19.5     23905.92     6709.32
-145.72    4.1     21886.56     5744.52
-155.96    41.46     24887.52     6763.4
-138.48    -22.28     19876.48     5140.24
-154.68    -79.72     24538.72     6648.16
-152.84    -16.04     23922.72     6643.84
-149.72    -79.16     22980.32     6467.84
-148.16    19.2     22491.2     6267.44
-152.76    -6.14     23988.96     6614.92
-154.0    -73.66     24272.64     6834.44
-147.56    -50.58     22485.6     6181.4
-148.16    -62.5     22537.28     6206.28
-158.24    84.22     25508.8     7221.48
-151.08    -0.32     23389.92     6376.24
-144.48    -66.38     21810.88     5429.08
-154.48    -81.52     24495.68     6890.56
-147.84    -76.48     22663.68     6326.4
-145.36    -34.3     21859.2     5869.56
-147.68    73.9     22581.76     6034.28
-153.44    80.74     24024.96     6720.12
-147.48    -12.36     22347.04     6088.4
-148.44    -2.04     22602.72     6071.6
-146.56    76.46     22024.32     6154.84
-149.24    -21.8     22819.68     6330.4
-147.16    15.22     22417.76     5960.68
-151.32    19.26     23500.64     6544.12
-146.92    12.98     22170.4     5972.2
-154.92    82.52     24478.56     6953.6
-152.24    79.38     23773.44     6535.96
-148.88    76.48     22703.04     6194.4
-151.6    -74.46     23465.6     6495.96
-151.2    -33.68     23477.76     6472.24
-149.4    -8.44     22995.68     6086.24
-153.16    81.52     23881.44     6789.92
-149.88    61.96     22997.6     6441.84
-150.36    -77.22     23199.52     6447.4
-152.96    -77.02     24016.96     6502.68
-151.6    -74.18     23572.16     6503.24
-155.6    82.74     24636.16     6968.6
-146.04    -21.78     22036.96     5922.2
-148.0    -62.74     22477.76     5971.4
-151.64    -80.12     23513.44     6600.32
-147.96    20.24     22496.48     6273.76
-148.52    79.24     22545.44     6479.04
-149.2    76.52     22894.08     6210.56
-152.56    80.72     23815.04     6688.32
-146.56    68.66     22014.4     6052.6
-153.4    79.5     24105.44     6766.36
-148.08    35.0     22500.16     6215.36
-152.76    -80.66     23877.6     6751.56
-150.28    -5.02     23164.32     6440.2
-151.48    79.46     23444.96     6527.96
-148.12    -62.96     22713.76     6367.68
-150.92    -75.02     23432.8     6334.6
-151.72    -78.14     23596.0     6621.64
-152.68    -80.86     23918.88     6744.36
-154.08    -11.66     24395.2     6570.2
-152.8    -38.42     23972.48     6579.4
-140.48    56.92     20444.48     5567.84
-153.36    78.3     24045.12     6557.32
-145.24    -28.66     21899.04     5872.36
-151.44    78.88     23561.28     6549.6
-153.48    14.36     24094.56     6641.52
-149.32    -76.52     22912.8     6248.32
-153.84    -78.78     24246.08     6676.2
-146.24    13.36     21949.44     5928.72
-150.36    -78.6     23131.68     6403.44
-150.76    -17.98     23275.04     6434.36
-150.0    78.26     23004.48     6411.64
-146.0    -8.98     21999.36     5822.68
-152.92    -77.68     23867.36     6592.24
-153.08    -80.4     24015.84     6717.12
-153.96    6.88     24273.12     6677.6
-151.24    13.74     23439.2     6363.24
-144.64    66.34     21491.52     6031.32
-149.0    20.56     22822.56     6302.32
-149.28    -78.44     22859.2     6438.72
-151.48    53.86     23627.04     6460.84
-147.92    13.66     22492.48     5962.36
-152.56    -76.2     23772.8     6491.44
-150.8    44.04     23263.04     6441.68
-149.36    -9.76     23009.6     6260.56
-145.68    26.68     22031.04     5953.04
-152.76    -29.34     23900.32     6666.04
-151.68    -77.9     23584.0     6409.32
-143.8    -35.96     21538.4     5679.44
-140.52    43.06     20752.16     5377.48
-148.52    73.1     22674.08     5961.88
-155.88    62.72     24936.16     7048.56
-147.72    72.6     22634.72     6142.88
-153.36    79.64     24059.84     6607.92
-153.6    80.88     24149.44     6734.32
-145.2    66.16     21773.12     5970.56
-146.72    -6.84     22209.92     6003.44
-148.28    69.98     22711.84     6036.12
-151.72    41.56     23540.96     6559.2
-156.12    82.1     24874.72     6922.12
-152.44    37.82     23792.8     6505.72
