# L=10, T=3.0 
# E      M        E^2        M^2
-79.72    0.48     6700.64     993.68
-87.04    4.68     8057.92     1469.12
-83.48    -7.76     7320.48     1196.32
-79.52    2.14     6727.68     985.0
-79.8    -1.06     6660.96     810.68
-80.4    1.68     6886.4     1184.72
-77.88    2.56     6425.12     965.92
-82.84    -2.52     7275.36     1029.6
-79.8    -4.82     6654.24     1105.32
-80.28    0.3     6941.28     963.96
-83.68    5.38     7460.48     1178.12
-81.84    -4.96     7186.88     1269.6
-85.08    -3.5     7543.52     1150.76
-86.32    -8.5     7852.8     1299.56
-82.28    10.5     7057.12     1047.24
-81.32    9.54     7014.88     1006.2
-81.24    -5.28     7108.0     1339.2
-82.24    -5.14     7060.8     1282.68
-80.48    5.24     6856.32     1114.72
-81.48    13.72     6941.6     1168.64
-83.36    3.04     7299.84     1051.76
-82.2    4.64     7079.2     1114.48
-80.2    -8.06     6935.84     1139.16
-85.2    2.76     7734.72     1264.32
-83.96    1.5     7441.44     1167.24
-84.68    7.4     7556.64     1090.8
-82.52    -2.02     7217.44     1157.08
-82.96    2.82     7246.4     987.96
-84.2    5.28     7449.12     1405.44
-81.32    -12.46     6922.08     1020.52
-82.6    0.0     7245.28     1062.08
-80.2    6.72     6853.28     837.92
-81.48    1.04     6963.68     1043.04
-79.08    -2.5     6630.24     1049.56
-82.64    3.26     7259.2     1005.16
-83.08    -6.1     7283.04     1063.24
-79.52    -2.66     6715.2     1078.44
-81.76    -6.36     7060.16     1229.12
-82.04    -6.36     7042.4     966.88
-84.56    -2.78     7457.92     1144.76
-82.2    3.64     7260.32     1016.56
-79.76    -3.3     6763.84     979.0
-81.56    2.62     7033.12     1234.44
-84.48    -0.34     7526.08     1337.56
-81.8    -3.82     7165.28     1218.36
-78.6    0.58     6589.6     1131.96
-82.44    1.48     7213.28     1168.0
-82.28    3.42     7202.72     1074.04
-86.48    10.46     7832.0     1295.8
-81.92    -2.02     6971.2     1070.44
-80.72    1.62     6857.28     821.0
-81.84    -3.64     7103.68     1346.88
-83.96    -3.7     7446.56     1134.36
-83.76    -4.56     7310.08     1150.88
-86.48    3.92     7845.44     1415.2
-84.12    -4.18     7554.72     1203.16
-87.76    12.12     8191.68     1365.6
-83.56    10.96     7379.68     1303.68
-82.44    1.7     7093.6     1002.36
-81.96    3.06     7130.4     1015.0
-82.76    -6.64     7165.92     1057.28
-84.0    -8.2     7384.64     1263.52
-78.4    3.56     6500.8     863.76
-81.68    -2.76     7067.2     1166.96
-82.96    6.56     7432.0     1250.72
-83.24    0.2     7368.48     1260.08
-82.0    1.36     7100.8     962.64
-82.36    1.12     7156.32     1008.72
-85.16    -6.22     7699.04     1252.12
-85.44    -7.26     7696.96     1204.12
-84.2    5.16     7471.52     1538.24
-84.32    5.0     7405.44     965.68
-81.48    4.68     6941.28     1063.12
-78.6    -1.98     6504.8     1018.2
-82.8    0.3     7125.44     1049.48
-79.88    6.9     6800.48     990.36
-82.48    3.54     7191.04     1060.92
-81.68    -1.12     7061.76     1056.64
-83.72    -8.88     7459.36     1218.96
-82.84    -7.36     7249.76     1076.8
-86.16    -2.12     7930.56     1515.2
-84.92    -2.12     7636.64     1351.76
-80.48    4.5     6859.2     972.68
-84.04    -17.02     7544.16     1268.6
-84.56    -7.7     7605.44     1272.92
-81.04    2.78     6892.48     878.36
-81.36    -5.48     6939.2     1189.36
-79.16    5.08     6619.36     895.12
-80.4    -0.96     6843.2     1084.88
-83.48    10.96     7446.88     1304.08
-82.08    0.12     7095.68     1099.44
-87.32    9.28     8085.6     1459.52
-82.04    2.84     7131.68     1216.32
-84.4    6.42     7602.88     1242.68
-81.28    -3.1     7020.48     1205.48
-83.88    -1.04     7396.96     1210.56
-82.68    1.02     7344.16     1282.92
-80.2    -3.76     6879.84     1054.08
-82.8    -4.38     7172.48     1031.24
-81.76    4.42     7091.52     1125.08
-79.76    4.7     6740.48     927.24
-83.52    2.82     7296.32     1131.8
-83.2    5.02     7332.8     1131.56
-84.76    0.98     7635.68     1149.88
-81.12    6.06     6954.88     1125.16
-84.32    1.14     7462.4     1124.76
-84.84    -6.44     7688.16     1349.2
-80.88    -6.44     6926.4     1067.36
-84.12    6.6     7505.44     1218.72
-85.72    -14.08     7885.92     1524.64
-86.32    -2.1     7864.96     1374.6
-82.48    -4.56     7205.44     1221.84
-82.76    -6.72     7251.68     1142.08
-81.68    0.34     7041.92     1145.88
-84.48    7.44     7517.76     1059.28
-82.88    -1.02     7195.52     1089.08
-84.08    -9.22     7480.32     1195.96
-80.96    -6.52     6901.12     1124.96
-80.6    9.46     6863.84     1085.88
-81.16    -2.1     6944.8     914.84
-79.28    3.58     6577.28     971.24
-79.52    4.9     6693.44     944.68
-81.32    -2.16     6918.88     915.76
-82.88    1.64     7344.0     1002.96
-82.92    4.48     7198.88     1089.92
-82.32    -7.56     7155.2     1097.36
-86.76    7.18     7962.72     1356.6
-81.32    -9.22     6971.68     1027.08
-79.96    1.58     6752.16     994.04
-85.68    -12.46     7741.12     1215.96
-81.04    -1.36     6943.68     1004.96
-83.56    10.82     7276.96     978.52
-82.2    5.94     7094.24     1058.84
-83.76    0.52     7372.8     1226.24
-84.72    3.32     7595.84     1081.2
-83.72    -4.42     7415.52     1273.64
-83.44    5.68     7492.8     1177.04
-83.28    5.38     7353.28     1024.76
-79.44    -5.78     6687.36     829.24
-78.48    1.72     6598.08     973.28
-81.32    -0.74     6969.76     882.52
-83.28    11.82     7244.8     1260.76
-82.6    0.48     7191.52     1192.32
-82.76    -7.46     7252.0     925.24
-83.0    13.56     7283.68     1208.08
-84.24    5.94     7478.72     1278.68
